timestamp,machine_id,temperature,pressure,vibration,flow_rate,humidity,failure
2026-01-02 00:00:00,COMP_1,91.75,226.74,0.550,114.57,42.17,1
2026-01-02 01:00:00,COMP_2,89.24,220.52,0.460,124.40,45.16,0
2026-01-02 02:00:00,PUMP_1,95.53,240.47,0.554,114.81,54.55,1
2026-01-02 03:00:00,PUMP_2,92.76,240.83,0.623,100.63,53.90,1
2026-01-02 04:00:00,VALVE_1,75.15,190.38,0.303,129.02,44.02,0
2026-01-02 05:00:00,VALVE_2,83.69,219.57,0.365,126.63,45.70,0
2026-01-02 06:00:00,COMP_1,88.02,217.40,0.392,112.19,50.62,0
2026-01-02 07:00:00,COMP_2,94.77,228.72,0.554,115.28,48.13,0
2026-01-02 08:00:00,PUMP_1,98.35,227.01,0.611,107.17,49.34,1
2026-01-02 09:00:00,PUMP_2,98.79,242.04,0.627,121.37,49.88,1
2026-01-02 10:00:00,VALVE_1,71.12,188.06,0.259,120.76,47.04,0
2026-01-02 11:00:00,VALVE_2,81.50,193.71,0.315,125.00,43.54,0
2026-01-02 12:00:00,COMP_1,90.02,224.15,0.512,123.42,51.15,1
2026-01-02 13:00:00,COMP_2,94.71,235.71,0.383,115.81,47.09,1
2026-01-02 14:00:00,PUMP_1,91.39,239.38,0.481,119.59,50.04,1
2026-01-02 15:00:00,PUMP_2,92.50,217.21,0.482,116.42,46.10,0
2026-01-02 16:00:00,VALVE_1,83.74,202.66,0.319,120.18,51.08,0
2026-01-02 17:00:00,VALVE_2,81.79,207.99,0.303,125.10,44.03,0
2026-01-02 18:00:00,COMP_1,88.03,227.90,0.459,118.70,44.66,1
2026-01-02 19:00:00,COMP_2,95.19,219.74,0.504,117.34,45.64,1
2026-01-02 20:00:00,PUMP_1,83.83,232.73,0.457,109.94,50.96,0
2026-01-02 21:00:00,PUMP_2,93.14,239.29,0.530,109.31,50.65,1
2026-01-02 22:00:00,VALVE_1,88.78,249.20,0.578,112.28,52.23,1
2026-01-02 23:00:00,VALVE_2,88.86,215.00,0.434,117.62,40.53,0
2026-01-03 00:00:00,COMP_1,85.31,206.05,0.476,119.51,43.21,0
2026-01-03 01:00:00,COMP_2,89.80,213.18,0.415,120.50,47.20,0
2026-01-03 02:00:00,PUMP_1,97.14,234.37,0.559,108.89,46.32,0
2026-01-03 03:00:00,PUMP_2,90.68,220.49,0.370,117.73,46.76,0
2026-01-03 04:00:00,VALVE_1,76.13,190.38,0.230,133.01,42.99,0
2026-01-03 05:00:00,VALVE_2,84.02,212.23,0.314,121.10,47.38,1
2026-01-03 06:00:00,COMP_1,93.26,221.96,0.411,122.84,46.42,0
2026-01-03 07:00:00,COMP_2,93.50,236.99,0.471,121.54,51.35,1
2026-01-03 08:00:00,PUMP_1,89.80,224.71,0.355,114.27,50.66,1
2026-01-03 09:00:00,PUMP_2,95.34,215.49,0.355,111.12,46.51,1
2026-01-03 10:00:00,VALVE_1,80.69,220.47,0.349,121.91,47.23,0
2026-01-03 11:00:00,VALVE_2,84.88,211.44,0.508,118.41,50.26,0
2026-01-03 12:00:00,COMP_1,83.41,220.70,0.330,129.07,41.37,1
2026-01-03 13:00:00,COMP_2,100.97,246.25,0.652,104.02,49.19,1
2026-01-03 14:00:00,PUMP_1,91.64,235.47,0.347,113.13,50.38,0
2026-01-03 15:00:00,PUMP_2,103.45,265.96,0.734,113.38,52.57,1
2026-01-03 16:00:00,VALVE_1,85.17,199.44,0.393,119.80,44.02,0
2026-01-03 17:00:00,VALVE_2,81.46,193.44,0.351,121.19,47.95,0
2026-01-03 18:00:00,COMP_1,83.92,212.46,0.448,118.19,46.83,0
2026-01-03 19:00:00,COMP_2,94.05,228.07,0.558,108.36,49.67,1
2026-01-03 20:00:00,PUMP_1,83.52,204.63,0.364,118.07,48.31,0
2026-01-03 21:00:00,PUMP_2,84.05,216.63,0.359,121.43,47.00,0
2026-01-03 22:00:00,VALVE_1,80.47,189.49,0.392,127.61,45.56,0
2026-01-03 23:00:00,VALVE_2,80.81,210.77,0.425,125.99,44.43,0
2026-01-04 00:00:00,COMP_1,86.69,219.74,0.433,123.89,43.55,0
2026-01-04 01:00:00,COMP_2,93.28,210.35,0.366,115.30,41.89,0
2026-01-04 02:00:00,PUMP_1,89.76,236.37,0.611,104.79,46.20,1
2026-01-04 03:00:00,PUMP_2,88.29,226.94,0.421,117.81,48.97,0
2026-01-04 04:00:00,VALVE_1,87.17,209.48,0.478,118.35,49.41,1
2026-01-04 05:00:00,VALVE_2,88.83,214.44,0.535,118.89,47.46,0
2026-01-04 06:00:00,COMP_1,80.97,202.26,0.348,124.77,47.24,0
2026-01-04 07:00:00,COMP_2,89.05,221.22,0.465,123.82,48.79,0
2026-01-04 08:00:00,PUMP_1,85.16,213.50,0.405,113.25,47.59,0
2026-01-04 09:00:00,PUMP_2,94.90,236.29,0.616,107.06,41.12,1
2026-01-04 10:00:00,VALVE_1,79.66,211.45,0.338,119.89,46.51,0
2026-01-04 11:00:00,VALVE_2,83.81,217.28,0.398,120.99,42.15,1
2026-01-04 12:00:00,COMP_1,88.99,225.70,0.469,114.59,41.00,1
2026-01-04 13:00:00,COMP_2,92.41,229.65,0.546,105.44,47.70,0
2026-01-04 14:00:00,PUMP_1,91.34,218.09,0.507,108.68,51.46,0
2026-01-04 15:00:00,PUMP_2,93.07,220.06,0.444,113.15,51.05,0
2026-01-04 16:00:00,VALVE_1,73.88,187.26,0.227,135.15,38.24,0
2026-01-04 17:00:00,VALVE_2,82.94,207.65,0.514,123.40,46.64,0
2026-01-04 18:00:00,COMP_1,84.60,214.49,0.427,122.96,45.36,0
2026-01-04 19:00:00,COMP_2,86.58,210.95,0.439,117.17,47.32,1
2026-01-04 20:00:00,PUMP_1,88.94,211.09,0.471,110.99,50.29,1
2026-01-04 21:00:00,PUMP_2,93.54,234.72,0.494,108.53,49.38,0
2026-01-04 22:00:00,VALVE_1,85.56,219.83,0.496,118.26,48.21,1
2026-01-04 23:00:00,VALVE_2,87.59,225.56,0.600,122.67,43.41,1
2026-01-05 00:00:00,COMP_1,84.77,220.35,0.374,117.49,44.86,0
2026-01-05 01:00:00,COMP_2,90.85,224.64,0.377,132.10,49.49,0
2026-01-05 02:00:00,PUMP_1,95.16,224.44,0.524,119.88,42.59,0
2026-01-05 03:00:00,PUMP_2,97.09,242.06,0.614,113.02,51.77,1
2026-01-05 04:00:00,VALVE_1,74.91,186.97,0.280,129.47,38.00,0
2026-01-05 05:00:00,VALVE_2,85.77,213.79,0.518,117.88,43.62,0
2026-01-05 06:00:00,COMP_1,91.84,219.72,0.536,115.94,45.66,1
2026-01-05 07:00:00,COMP_2,95.88,248.09,0.626,109.81,48.36,1
2026-01-05 08:00:00,PUMP_1,91.61,218.93,0.464,117.83,48.28,0
2026-01-05 09:00:00,PUMP_2,88.36,217.03,0.493,117.20,46.47,0
2026-01-05 10:00:00,VALVE_1,79.78,197.66,0.251,128.04,40.47,0
2026-01-05 11:00:00,VALVE_2,80.69,208.31,0.388,125.29,38.00,0
2026-01-05 12:00:00,COMP_1,86.47,200.12,0.400,120.12,41.40,0
2026-01-05 13:00:00,COMP_2,91.96,224.06,0.532,115.95,47.52,1
2026-01-05 14:00:00,PUMP_1,99.82,246.97,0.527,116.12,51.97,1
2026-01-05 15:00:00,PUMP_2,96.19,212.66,0.457,117.98,44.02,0
2026-01-05 16:00:00,VALVE_1,90.37,231.88,0.519,117.51,47.49,1
2026-01-05 17:00:00,VALVE_2,89.40,214.11,0.449,126.75,43.97,0
2026-01-05 18:00:00,COMP_1,88.18,207.41,0.299,125.26,48.62,0
2026-01-05 19:00:00,COMP_2,91.59,240.83,0.564,104.20,47.53,1
2026-01-05 20:00:00,PUMP_1,91.85,235.28,0.592,103.16,50.24,1
2026-01-05 21:00:00,PUMP_2,96.25,233.70,0.470,105.46,51.63,0
2026-01-05 22:00:00,VALVE_1,81.11,196.51,0.198,130.42,42.67,0
2026-01-05 23:00:00,VALVE_2,82.45,208.80,0.308,118.46,41.23,0
2026-01-06 00:00:00,COMP_1,85.61,211.18,0.397,118.00,44.33,1
2026-01-06 01:00:00,COMP_2,94.48,234.36,0.556,112.31,46.91,1
2026-01-06 02:00:00,PUMP_1,86.15,227.98,0.433,109.90,48.13,0
2026-01-06 03:00:00,PUMP_2,92.20,221.43,0.378,117.38,47.52,0
2026-01-06 04:00:00,VALVE_1,94.90,216.52,0.450,111.92,45.29,1
2026-01-06 05:00:00,VALVE_2,84.71,202.25,0.377,119.87,42.41,0
2026-01-06 06:00:00,COMP_1,85.99,225.49,0.375,125.90,43.84,0
2026-01-06 07:00:00,COMP_2,97.75,240.64,0.536,110.82,50.74,0
2026-01-06 08:00:00,PUMP_1,90.28,233.49,0.586,104.40,48.58,1
2026-01-06 09:00:00,PUMP_2,100.02,256.26,0.611,103.15,56.51,1
2026-01-06 10:00:00,VALVE_1,78.54,192.68,0.322,123.38,40.29,0
2026-01-06 11:00:00,VALVE_2,80.69,201.51,0.370,123.30,45.25,1
2026-01-06 12:00:00,COMP_1,90.51,222.36,0.488,122.07,45.96,0
2026-01-06 13:00:00,COMP_2,84.96,220.48,0.410,109.84,42.83,1
2026-01-06 14:00:00,PUMP_1,92.87,213.90,0.528,117.08,48.00,0
2026-01-06 15:00:00,PUMP_2,91.02,224.04,0.539,110.46,47.66,1
2026-01-06 16:00:00,VALVE_1,85.50,206.52,0.392,127.48,46.41,0
2026-01-06 17:00:00,VALVE_2,84.48,204.99,0.419,131.58,44.72,0
